,0
31,"【片头】【纪录片.NHK.医疗前沿.滋贺县超级食物：佛教影响下的饮食.Medical.Frontiers.2019】《医疗前沿》将分上下集来介绍滋贺县的超级食物。在下集中，我们将把目光聚焦于当地饮食，这也是滋贺县居民的平均寿命在日本位列前茅原因之一。滋贺县有众多寺庙，从而催生出精进料理，即用蔬菜和豆类等食材做的料理。这类料理在滋贺县十分常见。葫芦条可以预防生活习惯病，而大豆有助于维持肌肉健康，还有抗衰老的作用。我们将在本集中介绍用到这些食物和豆奶的简单食谱。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
32,"🇺🇸美国营养流行病学家👨🏻‍⚕️Martha Clare Morris从「营养学」的角度设计了一套菜单，并在追踪研究中发现，如果能照着菜单吃，可以让认知功能维持很长一段时间，最好跟最差的认知功能，甚至等于大脑年轻了7.5岁‼️ #医疗 #台湾 #台灣
👉O做不到每天地中海饮食，还可以选择「心智饮食法」，逆转大脑7.5年"
33,
34,"25岁的男士一般要配置重疾险和医疗险
1.重疾险（换重疾赔偿）
2.医疗险（住院治疗报销）

医疗险保费都挺便宜，国家还有社保，所以主要说说重疾险。
成年人（25-45岁），重疾险尽量一次性配置充足保额。因为25岁正当壮年，身体普遍健康，因此这个时候投保是最容易成功的。同时这个年龄段，通常这个年纪之后对家庭或未来家庭附有主要经济责任，在选择保额时，除了要考虑治疗费用，还要考虑患病后至少未来3-5年左右的收入缺少损失，以暂时缓解各种房贷车贷生活等的压力。
举个简单一点的例子：25岁，年收入30万。重疾花费40-70万。则合理的重疾保额区间应该是40+30x3~70+30x5=130万~220万，即18万-30万美金的保额。这样才能保证患病后有足够的理赔金额可以让自己疗养回复，让家人孩子继续生活。

当然，预算有限的话，最基本的还是要覆盖医疗费用啦，即重疾险的保额70万人民币/10万美金保额即可。

例子仅供参考，当然还要根据个人的经济能力去买保险，毕竟比较保额小的保障，它也是保障！
可咨询V：hkwish，始终为您，用心负责。

#保险##香港保险##父母##宝宝##家庭##疾病##健康##重疾险##医疗# O25岁男士该如何做保险计划？ 收起全文d"
35,
36,"只有回归医疗多几步，不法商业经营才能少一点儿。

矛盾吗？事实上并不矛盾。然而，在严格的医学伦理学原则指导下的医疗行为，确实与不合法、不合规的商业经营有矛盾、有冲突。

例如：实事求是的告知与充满套路话术的矛盾；严格的适应症与追求业绩开发的矛盾；对生命、健康权利、公平权利的敬畏与竞价排名的矛盾；出于诚信将医生信息、医疗信息、价格信息透明公开，与将假冒伪劣包装成华丽的、高科技的信息之矛盾，等等等等。

民营医疗美容的近几年大踏步“生活美容化”或者所谓的“渠道医美化”，造成了医疗质量与安全空壳化。相反，很多人则是越来越羡慕生活美容的伪概念、伪科学，越来越热衷于生活美容不劳而获甚至欺骗行为。

以致于整体民营医疗美容的质量与安全硬核被边缘化了。这是群体去医疗化的行为。能够阻止这种危险行为的只有回归医疗。

#医疗# 收起全文d"
37,
38,"今天领涨的热点题材来看，HIT电池、3D摄像头、WIFI等消费电子表现不错；

医药：业绩确定性，全球疫情扩散+长效抗疫机制，龙头板块已出现（医疗板块），重点关注医疗、特效药及原料药、疫苗及血液制品等。

科技：5G换机潮有望驱动智能手机行业迎来销量增长的拐点，重点关注可穿戴设备、面板（LED、MiniLED）等。观点仅供教学参考，不作为投资依据#医疗# 收起全文d"
39,
40,"作业和生命谁重要？批评孩子您悠着点！#健康# #医疗# #儿童# @新浪育儿

9岁的孩子因为作业没完成，母子两人发生争执；孩子将农药一饮而尽，紧急送往医院抢救！孩子正处于叛逆期，教育孩子您悠着点！！

近日，9岁的乐乐（化名）因为贪玩没有按时完成布置的作业，下午被下班回家的妈妈逮个正着，妈妈狠狠的训斥了乐乐，这激起了乐乐的叛逆情绪，母子两人发生了争吵，随后乐乐趁妈妈不注意，把装在饮料瓶中的农药都喝了，妈妈发现时，乐乐已出现昏迷、抽搐等症状，紧急送往我院重症医学二科，明确诊断为阿维菌素中毒，立即进行抢救治疗，12小时后，乐乐情况逐渐好转。

阿维菌素是一种被广泛使用的农用或兽用杀菌、杀虫、杀螨剂。阿维菌素中毒的严重程度和服用剂量相关，它主要损害中枢系统，往往中毒严重的病人因为频繁抽搐、呼吸衰竭、休克而导致死亡，中毒后的预后情况和服用剂量及治疗是否及时相关。

叛逆期是指孩子正处于心理的过渡期，其独立意识和自我意识日益增强，迫切希望摆脱成人（尤其是父母）的监护。正是由于他们感到或担心外界忽视了自己的独立存在，叛逆心理才因此产生，从而用各种手段、方法来确立“自我”与外界的平等地位。叛逆心理虽然说不上是一种非健康的心理，但是当它反应强烈时却是一种反常的心理。尤其是疫情期间，患儿长期待在家中，活动空间受限，与其他小朋友接触减少，时间久了，难免有烦躁、紧张、焦虑、过度担忧的情绪波动。很容易因为一件小事激起、甚至加重孩子的叛逆情绪，若未能及时发现，与孩子进行沟通，就可能引发类似服用农药、离家出走等事件发生，造成严重后果。

河北省儿童医院重症二科黄波主任提醒广大家长，发现患儿情绪不稳定，要及早沟通与疏导，把孩子的不良念头扼杀在萌芽状态，避免发生不可挽回的后果。同时，家长不要把农药、毒药等危险品装到饮料瓶中，也不要放置到孩子能够拿得到的地方，一旦发现孩子服用毒药或其他药物，应立即带上可疑毒物、药物的包装就近就医。对于医务工作者，应尽早明确患儿中毒的种类及剂量，根据具体情况及早给予针对性治疗措施，以尽快清除毒物，减少后遗症的发生。 收起全文d"
41,"#投资##保险##健康##养老##医疗#
👍🏻厉害了，我的泰康，又获奖👍🏻
中国银行保险报主办的中国保险服务创新峰会，荣获多个两项，这是行业对泰康的服务和效率的认可"
42,
43,"前几天我介绍了好重疾险的几大标准，其中一个就是“好服务”，这也是考验保险公司功力的一个重要维度。

还是以工银安盛重疾险为例，它强大之处体现在能为客户提供就医咨询、专家门诊预约、全程陪诊、住院手术安排、第二诊疗意见等，打通了诊前、诊中和诊后全流程，每项服务每年至少能享受一次，极大的节省了时间和精力。

其实，对用户来说，重疾的理赔只是迈出了第一步，后续能得到最好的治疗，是更需要我们去关注的地方。

#健康##医学##医疗##医学科普##涨姿势##涨知识##看病难看病贵看病累# 收起全文d"
44,自己交200多，国家给补贴500多！国家给的福利你享受到了吗？#医疗##社保#@微博视频 L照理说事的微博视频
45,
46,"#魏文育新# 【魏言微语:温暖】
人与人之间，可以近也可以远；情与情之间，可以浓也可以淡:；事与事之间，可以繁也可以简。生活中的我们都有缺点，所以彼此包容一点；每个人都有优点，所以彼此欣赏一点；大家都有个性，所以彼此谦让一点；你我都有差异，所以彼此接纳一点；咱们都有伤心的时候，所以互相安慰一点；我们都会有快乐的时候，所以互相分享一下。
#新时代##医疗# @医领会 @微观医疗 收起全文d"
47,
48,"【片头】【纪录片.NHK.医疗前沿.通往医疗安全之路.Medical.Frontiers.2019】医疗机构发生的异常事例有时会将病患的性命置于危险之中。位于日本中部的名古屋大学医学部附属医院采用了一套系统，以保障医疗安全。医院的每位工作人员，从医疗专业人员到行政人员，都可以报告失误。一周有250起异常事例，每一例都会接受仔细检查，以确定起因，并向病患分享相关信息。这一做法完善了手术、改善了医疗设备。这一基于“持续改善”的系统是日本丰田汽车的核心理念。
A站中文版.片头已发
此系列不再发布完整版视频
#日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
49,前两天到急诊外科支援时录制的，这还是8点多人少的时候，等上午10点以后人就多了#医疗# #医院# L北大人民医院泌尿男科张晓威的微博视频
50,
51,"👀希地公司被授予的奖项了解🇨🇳工程质量“最高”荣誉奖。中国建设工程鲁班奖，是一项由🇨🇳住房和城乡建设部指导、🇨🇳建筑业协会实施评选的奖项。

ps：疫情反复期继续各负其责，为民护航。👩‍⚕️👨‍⚕️专业守护前线，医💊（PBM）系统智能贯穿，医养工程基建稳托盘。#建筑##医疗# 收起全文d"
52,#医疗#医疗器械是怎么做到无菌的？正在揭秘！带你了解这些事 L医院那些点事的微博视频
53,
54,【桥水创始人：我看着中国崛起 #中国人均收入35年增加22倍#】是不是外国人放屁都香？八四年工人工资大约40元左右，现在住的小区保安工资2000元。物价、房价大家都知道就不想说了。不干活的啃一代啃二代，#啃老族# 有多少调查过吗？#教育##房产##医疗#推向市场，生个大病一辈子完了。比35年前生活是好了，但不要看平均值。 L云海山人_的微博视频 收起全文d
55,"有些人的固执是写进骨子里的
有些人的胆怯是表达在嘴巴上#股市##科创版##医疗##流感#"
56,
57,"👨🏻‍⚕️虽然脂肪肝的名称中有「脂肪」2个字，但其实脂肪肝不是油或脂肪吃太多才会有，三酸甘油脂更容易囤积在内脏，尤其是负责身体代谢的肝脏位置，形成脂肪肝；而身体储存的皮下脂肪是附着在肌肉上的，如果没有肌肉，脂肪就会转堆积在内脏，造成脂肪肝‼️ #医疗 #台湾
👉O亚洲人逐渐步入欧美人的后尘：脂肪肝成为肝硬化及肝癌的原因 收起全文d"
58,
59,"#我和中央空调的那些事# #LG中央空调##医疗# #振德# #最适合夏天用的壁纸# #夏天里最幸福的瞬间# 【医疗领域再下一城，LG斩获行业龙头振德医疗许振项目】近日，LG中央空调以8台大冷量蒸汽型溴化锂机组，主机总冷负荷2029万大卡，成功斩获医疗行业龙头振德医疗许振项目，成熟的余热利用方案助推其在医疗领域再下一城。
振德医疗用品股份有限公司成立于1994年，中国A股上市公司（“振德医疗”，股票代码：603301.SH），是中国领先的医疗护理与防护用品供应商。作为一家从事医用敷料、手术感控产品、传统伤口护理、运动护具，集研发、生产、销售为一体的股份制企业，振德医疗在浙江、河南、安徽、新疆拥有4大生产基地，并设有覆盖国内31个省区市的销售网络。
据了解，振德医疗许振项目的制冷需求量极大，并且对温度、能耗的要求也都极为严苛。基于这样的实际情况，LG销售负责人依托集团优势，经过多次的研究论证跟实地考察，结合能源现状，利用项目地附近振德热电厂产生的废弃蒸汽，为该项目推荐蒸汽型溴化锂机组，充分利用废热为项目免费制冷。O网页链接
@LG空调企业微博 收起全文d"
60,#医疗##新冠#治疗一个新冠重症患者到底要花多少钱？不得不感叹，国家是真的很好 L医院那些点事的微博视频
61,
62,"【Equipos médicos chinos en África | 中国医疗队在非洲】#医疗# #中国# #非洲#
46 equipos médicos chinos en África guardan el compromiso de ayudar a sus colegas locales y garantizar la seguridad de la población en medio del brote de COVID-19.
①: Médicos chinos y locales participan en una videoconferencia en Angola. (Foto cortesía del equipo médico chino en Angola)
②: El estomatólogo del equipo médico chino en Burundi revisa a un paciente local. (Foto cortesía del equipo médico chino para Burundi)
③: Un médico del equipo chino en Marruecos realiza una cirugía en un paciente local. (Foto cortesía del equipo médico chino en Marruecos)
④: El equipo médico chino en Sudán capacita al personal local. (Foto cortesía del equipo médico chino en Sudán) 收起全文d"
63,
64,#医疗##拒绝过度医疗##中国立法防医闹# 这位女士说因为自己头晕，去医院做了各种检查，花了8000多块钱，人折腾个半死也没查出原因，还要继续查，简直受不了啦！无奈又换了一家医院，结果这家医院的医生给他开了两盒30块钱一盒营养神经的谷维素，没吃完病就好了。现在的医院经常人都是满满的，医生每年手底还要经过很多很多病人，难道一点经验都没有吗？还是为了拉动医院创收拿提成不能让医院的机器停下来，故而为之？ L国事家事天下事的微博视频 收起全文d
65,
66,"【片头】【纪录片.NHK.医疗前沿.超微观手术.Medical.Frontiers.2019】一名日本医生能将直径不足1毫米的血管或淋巴管缝合在一起。现年37岁的山本匠是一名超微观外科医生，已有一万多台此类微观手术的实战经验，能完成四肢重建手术以及治疗淋巴水肿，而这些在之前都是不可能完成的手术。重建手术帮助病患恢复了四肢的知觉，而癌症治疗后通常会出现的淋巴水肿也可以通过缝合极细小的淋巴管进行治疗。这一切得以成为现实要归功于由日本工人制作的0.03毫米粗细的手术针。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
67,"#医疗##中医#
以前的药上写着：
但愿世间无疾苦
宁使架上药生尘
如今却写着会员特价买五送一"
68,
69,"【十八年後的終極告白】精華 愛情係最好嘅治療
自己身體受嘅傷或者可以忍受，你愛嘅人受傷你可以忍受嗎？身體受傷，時間會治療一切，心靈受傷，時間可以治療一切嗎？或者阿一陳山聰同阿倩楊秀惠最唔可以忍受係對方受傷⋯
#十八年后的终极告白# #陈山聪# #杨秀惠# #爱情# #医疗# TVB
十八年後的終極告白｜星期一至五 9:30 PM｜翡翠台 LTVB官方微博的微博视频 收起全文d"
70,
71,"#医疗##老外羡慕中国先看病后给钱#
在中国，先看病后交费并不普遍，挂号、检查、拿药……时间和耐性被消耗于一次又一次排队中，即使网络支付省去不少排队的步骤，但“交钱才能做”给人心理带来的感觉并不好。不过，我所在的医疗系统强调服务和质量，先看病最后结算是常规，但代价是数倍于公立医院的价格 O中国医疗服务行业的真实状况如何？还需要做哪些改进？ 收起全文d"
72,测序仪、CT、呼吸机、这些医疗装备从某种意义上来说，就是呵护生命的使者，一旦当你需要的时候，他们可能就会化身为探测病毒的雷达，或者是抵御病毒的盾牌，或者是挽救生命的神器。从这个意义上说，我们更要发自肺腑地来祝愿我们中国的医疗装备产业能够有更快更好的发展。#对话##医疗##疫情#
73,
74,"浓情端午华图豪礼来，父爱如山粽享时光#端午节#
火速关注@华图教育 转发+@一位好友：
6月23日抽6人送祥和五芳粽子礼盒；
6月24日抽6人送枫桥夜泊精美折扇；
6月25日抽6人送图兔的随笔本，快快行动吧！
端午节专题：O网页链接 密卷专题：O网页链接
#2020省考# #教师招聘# #公务员考试# #事业单位# #军队文职# #医疗# 收起全文d"
75,"先祝各位“父亲”，父亲节快乐
我想我以后也会成为一位合格的父亲
【父亲｜不可不知的家庭支柱保障计划】
⬇️6张图带你看完为什么家庭支柱要配置保障

#父亲节##父亲节快乐##家庭##健康##香港保险##保险##重疾险##医疗#香港保险"
76,远离，谨慎对待。病从口入真是得注意。#抗疫行动# #北京疫情# #医疗# #食品安全# #食品#
77,
78,【新发地市场采样中 水产、豆制品局部售卖区域阳性样本较多！】6月19日下午，北京市疾控中心副主任庞星火通报疫情防控相关情况，在新发地市场环境采样中其综合交易大厅特别水产、豆制品局部售卖区域阳性样本较多，环境污染较重。庞星火建议市民妥善处理赴新发地市场所购的冰冻海鲜、豆制品等食物，不建议食用。要养成良好的卫生习惯，从权威渠道了解疫情信息，从自身做起，从每个家庭做起，自觉遵守北京市疫情防控各项要求，自觉配合实施全市各项防控管理措施。O网页链接 收起全文d
79,求问考医疗编刷题的app或者试卷#医疗# 2福州·五四北
80,
81,"风险最可怕的地方，恰恰是它无法预测，随时可能发生。

而重疾险的优势就在于，只要交过第一年保费，过了等待期，保障就已经开启，保险公司就得准备好保额待命，一旦客户罹患重疾并符合条款约定，就可以申请理赔。

万一在交完第一笔保费后就不幸出险，那就是用2.5万的保费撬动了100万甚至150万保险金——如果买的产品前N年出险会额外赔付50%基本保额。

我们也许没法很快赚到100万，但通过重疾险这个杠杆，一旦患上大病，就可以随时动用100万来救命。

#健康# #保险知识# #医疗# #重疾险# #保障# #理财# #科普# 收起全文d"
82,"💪活下去‼️
因多重器官衰竭徘徊于鬼门关前，使用叶克膜33天，如今康复出院A先生对医疗团队有满满的感激❤️ #医疗 #台湾 #台灣
👉O使用叶克膜33天、住院75天！ 新冠肺炎重症终出院"
83,"#投资##保险##健康##养老##医疗#
【保险百科】为什么买保险需要找专业的保险顾问，因为保险就像是一座冰山，您所看到的或许只是露出水面很小的一块，但我们看到的保险却是水面下巨大隐藏的部分！
专业的事情交给专业的人，放心[爱心]"
84,#医疗# 这是啥装置呢 L工业互联网科技的微博视频
85,
86,人类寿命未来会越来越延长，所以医药这一行业具备穿越牛熊的特质～ 但是买单个个股风险太大，想要获得稳定的收益呢，还是建议买医药etf下表是所有主要医药细分etf的近年来表现，创新药拔得头筹，建议优先关注，大家记得逢低定投哟，也欢迎大家转发哈#金融##投资##财经##股票##医疗# 2上海 收起全文d
87,"谁用谁安全，谁用谁健康，谁用谁知道！
#医疗##北京疫情##严防疫情反弹##防护面罩# 2北京 L温承宇先生的微博视频"
88,
89,"【片头】【纪录片.NHK.医疗前沿.全面精密体检.Medical.Frontiers.2019】日本有一套独特的预防保健系统，叫做“全面精密体检”。这套体检系统可以找到潜在的健康问题，尽早发现癌症等严重疾患。全面精密体检在外藉人士之间也备受欢迎，因为整套体检下来只需花费11万多日元。新型的全面精密体检帮助体检者提高健康意识，从而养成终身受益的良好生活习惯。而在本期健康生活小常识环节中，我们也将为您介绍有利于预防生活习惯病的豆腐食谱。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
90,"我坚持推荐e生保
只因为希望：在关键时刻，
每一个人都能很有底气说：
“请用最好的药，我有保险！”
能用""一餐饭""几百元解决的问题，为何要用""一套房”。要轻松筹呢？
#大病求助##医疗##保险##大病医保# 2重庆"
91,#中医##医疗##类风湿关节炎# 有对比才知道好的感觉。 2南宁
92,
93,【八成私募仓位过半 增持消费与医药】财联社6月17日讯，私募对6月份结构性行情的预期，在仓位上得到了充分体现。数据显示，截至5月末，持仓超过五成的私募占比超过80%，环比上升0.74个百分点。从调仓方向来看，4月份遭减持的食品饮料和医药行业，在5月备受青睐，成为私募持仓增幅最大的两个行业。多位业内人士表示，当前市场流动性继续保持合理充裕，后续应积极把握短期调整带来的行业和个股机会，消费和医药依然是今年的投资主线。#股票##遇见美好##消费##医疗# 收起全文d
94,忙了一天，各种手术都有，从腹腔镜，到电切镜，再到输尿管镜和显微镜，泌尿外科几乎所有的手术都要会做#医疗##医生# 2北京·北京大学人民医院
95,
96,"【片头】【纪录片.NHK.医疗前沿.滋贺县超级食物：佛教影响下的饮食.Medical.Frontiers.2019】《医疗前沿》将分上下集来介绍滋贺县的超级食物。在下集中，我们将把目光聚焦于当地饮食，这也是滋贺县居民的平均寿命在日本位列前茅原因之一。滋贺县有众多寺庙，从而催生出精进料理，即用蔬菜和豆类等食材做的料理。这类料理在滋贺县十分常见。葫芦条可以预防生活习惯病，而大豆有助于维持肌肉健康，还有抗衰老的作用。我们将在本集中介绍用到这些食物和豆奶的简单食谱。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
97,"🇺🇸美国营养流行病学家👨🏻‍⚕️Martha Clare Morris从「营养学」的角度设计了一套菜单，并在追踪研究中发现，如果能照着菜单吃，可以让认知功能维持很长一段时间，最好跟最差的认知功能，甚至等于大脑年轻了7.5岁‼️ #医疗 #台湾 #台灣
👉O做不到每天地中海饮食，还可以选择「心智饮食法」，逆转大脑7.5年"
98,
99,"25岁的男士一般要配置重疾险和医疗险
1.重疾险（换重疾赔偿）
2.医疗险（住院治疗报销）

医疗险保费都挺便宜，国家还有社保，所以主要说说重疾险。
成年人（25-45岁），重疾险尽量一次性配置充足保额。因为25岁正当壮年，身体普遍健康，因此这个时候投保是最容易成功的。同时这个年龄段，通常这个年纪之后对家庭或未来家庭附有主要经济责任，在选择保额时，除了要考虑治疗费用，还要考虑患病后至少未来3-5年左右的收入缺少损失，以暂时缓解各种房贷车贷生活等的压力。
举个简单一点的例子：25岁，年收入30万。重疾花费40-70万。则合理的重疾保额区间应该是40+30x3~70+30x5=130万~220万，即18万-30万美金的保额。这样才能保证患病后有足够的理赔金额可以让自己疗养回复，让家人孩子继续生活。

当然，预算有限的话，最基本的还是要覆盖医疗费用啦，即重疾险的保额70万人民币/10万美金保额即可。

例子仅供参考，当然还要根据个人的经济能力去买保险，毕竟比较保额小的保障，它也是保障！
可咨询V：hkwish，始终为您，用心负责。

#保险##香港保险##父母##宝宝##家庭##疾病##健康##重疾险##医疗# O25岁男士该如何做保险计划？ 收起全文d"
100,
101,"只有回归医疗多几步，不法商业经营才能少一点儿。

矛盾吗？事实上并不矛盾。然而，在严格的医学伦理学原则指导下的医疗行为，确实与不合法、不合规的商业经营有矛盾、有冲突。

例如：实事求是的告知与充满套路话术的矛盾；严格的适应症与追求业绩开发的矛盾；对生命、健康权利、公平权利的敬畏与竞价排名的矛盾；出于诚信将医生信息、医疗信息、价格信息透明公开，与将假冒伪劣包装成华丽的、高科技的信息之矛盾，等等等等。

民营医疗美容的近几年大踏步“生活美容化”或者所谓的“渠道医美化”，造成了医疗质量与安全空壳化。相反，很多人则是越来越羡慕生活美容的伪概念、伪科学，越来越热衷于生活美容不劳而获甚至欺骗行为。

以致于整体民营医疗美容的质量与安全硬核被边缘化了。这是群体去医疗化的行为。能够阻止这种危险行为的只有回归医疗。

#医疗# 收起全文d"
102,
103,"今天领涨的热点题材来看，HIT电池、3D摄像头、WIFI等消费电子表现不错；

医药：业绩确定性，全球疫情扩散+长效抗疫机制，龙头板块已出现（医疗板块），重点关注医疗、特效药及原料药、疫苗及血液制品等。

科技：5G换机潮有望驱动智能手机行业迎来销量增长的拐点，重点关注可穿戴设备、面板（LED、MiniLED）等。观点仅供教学参考，不作为投资依据#医疗# 收起全文d"
104,
