attitude,hospital,comment
1,复旦大学附属中山医院,就诊体验感非常最差！！！挂了3次号，每次300，一共光挂号就花了900块也没有完全的100%的告知我妈的病情！！我们拿检查报告进去给她看的时候，看了半天连病人的名字都混了！！真担心这样药会不会开混！！见了她3次，光挂号费就花了900块，（回 [详细]
5,复旦大学附属中山医院,顾医生对病人态度温和，有问必答，详细解释病症，非常专业。
1,复旦大学附属中山医院,挂号后，医生自己没法确诊（挂号300），还召集了一大堆医生做什么专业会诊，挂号600，本来是要做穿刺，后面不知道为什么做了肺境，结果又没达到病灶，不仅时间拖得久，而且没有提出针对性的诊断，一点帮助都没有，很不满意。
5,复旦大学附属中山医院,张医生和蔼可亲 对病人非常有耐心 有问必答 是位负责的好医生！
5,复旦大学附属中山医院,爸爸妈妈回来都说朱医生特别好，给了爸爸明确的诊断，谢谢！
5,复旦大学附属中山医院,已去看过 接下来去复诊 希望所有人都能平安健康无病痛！
5,复旦大学附属中山医院,随访复查一直找的洪主任，很耐心，很感谢！
5,复旦大学附属中山医院,9年前我全身浮肿靠着吃利尿剂才能出一点小便，走遍了上海各大医院不是讲心脏病就是讲垂体瘤，医生已连续发下了2张病危通知单，该着我命不当绝，在五官科医院就诊时碰到了好医生介绍我到中山医院李善群教授这里看，抱着最后一丝希望来到李教授处看看，想不到 [详细]
5,复旦大学附属中山医院,和蔼可亲
5,复旦大学附属中山医院,杨医生非常和蔼可亲，和我们病号没有一点距离感，看病细致，一点都不敷衍，看病时间也很长，感觉300元挂号费没有白花。
5,复旦大学附属中山医院,虽然不是邵医生的擅长，但邵医生介绍了其他科室的医生来治疗。非常热心
5,复旦大学附属中山医院,好专家
5,复旦大学附属中山医院,等待时间短，握说平时很难预约成功，疫情期间能预约到，多亏挂号网，感谢！金医生很有效率，看片子，讲病情，提建议，一气呵成。建议我父亲住院，也很照顾老人家情绪，待我们商量好之后，就帮我们预约病床。现在还在等住院通知，一周过去了，估计床位很紧张。 [详细]
5,复旦大学附属中山医院,打鼾，呼吸暂停，给予明确方案，见效明显
5,复旦大学附属中山医院,生病了很久，咳嗽半年多了，一直喝咳嗽药水，以为是嗓子发炎，没想到和胃有关系。顾医生听了描述后，判断很准确。吃了配的药，好了特别多。医生人也很亲切。
5,复旦大学附属中山医院,白主任专业、细致、和蔼，对于病人急需解决的问题提供及时的帮助，真的是一位德高望重的好医生！非常感激白主任给予的帮助！
5,复旦大学附属中山医院,顾医生对我老公病非常负责任，吃了顾医生配的药延长了生命、工作认真负责精益，家属非常满意，表示感谢谢谢丶
5,复旦大学附属中山医院,经验丰富，经过仔细询问，就排除了我哮喘的病症，很好的医生
5,复旦大学附属中山医院,和蔼可亲，让人感觉很温暖的一位好医生
5,复旦大学附属中山医院,李医生问诊耐心专业。
3,复旦大学附属中山医院,医术如何不做评价，只能说态度还是可以的。对本人来说，专家门诊不效果不佳。
5,复旦大学附属中山医院,非常好
5,复旦大学附属中山医院,医生妙手回春大医院真是不一样之前在浙大附属第一，第二都看过，全是专家号。几乎没有用，咳嗽也控制不住。后在复旦大学附属中山医院顾医生确诊支气管哮喘。只是开了药，用的都是以前的检查报告就确诊了，刚开始半信半疑，回家后给药两天，效果明显，咳嗽控制 [详细]
5,复旦大学附属中山医院,母亲是肺癌，小细胞癌，治疗方案判断准确，建议及时，我母亲的病情才得以缓解，对邵主任以及丁宁医生，还有住院部的所有医护人员表示由衷的感谢。
5,复旦大学附属中山医院,服药后就控制住了病情，第二天明显轻松了不少，目前已平稳如初。
1,复旦大学附属中山医院,没耐心，态度极度影响心情，带父母体检，没耐心讲解赶紧打发走。很无语，又无奈。
1,复旦大学附属中山医院,很没耐心，没啥用，多问一句就生气了。还不如普通门诊。
5,复旦大学附属中山医院,来看过后已经明显好转多了，感谢医生…
5,复旦大学附属中山医院,态度和蔼可亲，医术令人敬佩，效果让人放心！
5,复旦大学附属中山医院,张医生给人的感觉是专注学术的学者！水平高、人实在！
5,复旦大学附属中山医院,朱医生问病仔细，经验丰富，诊断正确，对症下药，非常满意。
5,复旦大学附属中山医院,医生非常专业、耐心、负责！
5,复旦大学附属中山医院,李主任详细查看了肺部CT片，诊断为变异性哮喘，并看出了三种药。其中吸入性的“沙美特罗替卡松粉吸入剂”，我马上在李主任助手的指导下进行了第一次吸入，由于没有随身带水，大概五分钟之后才漱口，当时就感觉口腔黏膜被灼伤一样的不适，下午口腔内就发起了 [详细]
1,复旦大学附属中山医院,没有多大帮助，和普通门诊一样
1,复旦大学附属中山医院,水平太差了，很不负责任，给我妈妈看病三两句打发了说没事，开了点药就让我们回去了，半个月后在别的医院检查出我妈妈是肺癌，太粗心敷衍了这个医生。
5,复旦大学附属中山医院,非常专业!
5,复旦大学附属中山医院,看病医生和善最重要，顾医生很好说的也很细
1,复旦大学附属中山医院,片子都不看，300块钱的号两分钟就打发人，很不负责任，也不告知药的用法
5,复旦大学附属中山医院,等待时间段，沟通清晰准确
5,复旦大学附属中山医院,教授非常有经验 和蔼可亲 详细询问 详细讲解 诊断结果非常明确 对症下药 嘱咐今后注意事项 在网上提前预约比较方便 能明确大致的就诊时间
5,复旦大学附属中山医院,顾主任态度很好，很专业，
5,复旦大学附属中山医院,李医生经验丰富！我老爸看完，用药后，哮喘症状改善明显！
5,复旦大学附属中山医院,我妈妈第一次出远门，平时都是在小城市看病，这是全家怀着忐忑不安的心情到上海看病，遇到顾主任为人亲和，尽心尽力，为病人所想，初步诊断让我们放心，等血检报告，等待下个月的复检。
5,复旦大学附属中山医院,已经做了CT检查可是一直挂不到号继续复诊。唉！
5,复旦大学附属中山医院,非常好！
5,复旦大学附属中山医院,邵医生态度非常好，及时安排检查并可以在第一时间让病人返诊以减少等待时间。能够耐心听取患者陈述并开出合理的用药。
5,复旦大学附属中山医院,感觉咳嗽变异性哮喘治不好了……
5,复旦大学附属中山医院,比较方便，张教授非常细致
1,复旦大学附属中山医院,来这边都一个月，前后来来回回看了五六次，看一次开一次检查单，各种血检，CT，肺功能检查，甚至7000的petct都检查了，本以为拿着这些报告挂个大专家，结果还看不出毛病来，然后还是开一些检查单，感觉这样下去得看上一年半载，把各种检查都做完， [详细]
5,复旦大学附属中山医院,耐心，仔细，分析问题十分到位，是位难得的好医生
5,复旦大学附属中山医院,杨冬医生问诊过程中很随和，并且诊断比较明确，对症下药，开了半个月的药先吃吃看，感觉现在人好多了，胸也不闷了。明天再去开半个月的药吃，到时候再去复诊一次，看看以后怎么继续規范用药，争取达到控制不发作或少发作，最后再次感谢杨冬主任。
5,复旦大学附属中山医院,医生很负责任，专业水平高，会为病人考虑，并且安慰病人。
5,复旦大学附属中山医院,顾医生为人很和善，态度好十分敬业，问她什么总会很亲切讲解病情
5,复旦大学附属中山医院,很有耐心，并且医术很好
5,复旦大学附属中山医院,非常热情
1,复旦大学附属中山医院,看了两次，只会开个吸的药，一点效果没有，跟医生说了那个没有效果还是继续开这个药，也没有耐心去听我讲病情，很差劲
5,复旦大学附属中山医院,之前去了很多个医院就诊还是咳的厉害，李医生开的药吃了一周就几乎完全好了，简直神药。
5,复旦大学附属中山医院,顾医生耐心细致，特别难能可贵的是已经到了中午11:30以后仍能详细了解病员病情以及给出合理的医治方案，这与很多专家门诊前松后紧、到了末后几位病人敷衍了事的诊治方式形成鲜明的对比。此外，病人当天在就医过程中作功能检查后“回诊”，各个医院有不同 [详细]
5,复旦大学附属中山医院,好好
5,复旦大学附属中山医院,人很热心，也很耐心的解答
2,复旦大学附属中山医院,来回挂了两个专家门诊号，当天下午看病开检查单，第二天才给你出报告，第二天拿着报告单直接找专家解读，不可以，必须重新挂专家号，这套路也没有谁了。看一次病稳妥妥两次专家号才能完成。
5,复旦大学附属中山医院,本人哮喘一年多，吃了很多药不见好，在金医生这里看了三次基本好了。金医生经验丰富，十分亲切。
5,复旦大学附属中山医院,医生态度和蔼
5,复旦大学附属中山医院,王主任认真查看了我带去的CT片子和检查报告 仔细询问了病情 补充做了一些检查 很亲切
5,复旦大学附属中山医院,非常耐心
5,复旦大学附属中山医院,态度好
5,复旦大学附属中山医院,这是我爸的第三次复诊，情况持续好转，多亏了顾教授的热情周到细致的诊断。感谢顾教授的优质服务！
5,复旦大学附属中山医院,医生很好，一切替病人着想
5,复旦大学附属中山医院,父亲是外地患者，非常体谅患者，很厉害的医者，医德高尚，非常喜欢
3,复旦大学附属中山医院,等了两个半小时，医生水平一般般吧，和普通医生没区别
5,复旦大学附属中山医院,到医院挂号，有医保卡的注意医保卡挂号，要不然开药时不能走医保，需要医生帮忙重新改下，多跑一趟
5,复旦大学附属中山医院,顾主任非常耐心，把我带过去的电子CT一页一页仔细看，并叮嘱复查时间。因为特需要自费，特意帮我再挂普通号来用医保可节省药物费用，非常感谢！
5,复旦大学附属中山医院,用药后复查。洪医生耐心地听患者家属反映患者一段时间的反应，对比前后拍的片子，耐心解答问题，消除顾虑。看病做到对症下药、解疑答惑，非常感谢！
5,复旦大学附属中山医院,邵医生和善细心，谢谢
5,复旦大学附属中山医院,顾主任对病情和治疗方案讲解比较详细，态度也好，疑难杂症值得去，医术高，医德好。
5,复旦大学附属中山医院,李医生认真耐心！妙手回春
5,复旦大学附属中山医院,医生不错，比较权威
2,复旦大学附属中山医院,去了两次，都没有确诊我为什么咳嗽，而且咳嗽也没有好转
5,复旦大学附属中山医院,洪医生医德高尚
5,复旦大学附属中山医院,张主任十分仔细耐心地诊断及讲解，非常感谢！
2,复旦大学附属中山医院,预约3点号段，实际5点半才看到。不看你以前检查和治疗报告，不问病情。不知道结核病不是李医生专长还是没有认为没有更好的手段，4分钟问诊结束，给开了个验血确认是否治愈，基本就是你问他答，你不问他也没啥说的。外地过来的病友，可以考虑先看该院的普通 [详细]
5,复旦大学附属中山医院,医生经验是挺丰富的，本来就是想确定病情，肺部结节到底是良性还是恶性，医生仔细看了ct片子，详细说了治疗方案，开了消炎药，观察三个月再复查！总体还算满意！
5,复旦大学附属中山医院,爸爸服药以后一咳一咳的现象好了很多，目前药已用完
5,复旦大学附属中山医院,非常好，医生沟通顺畅，有问询有诊断有治疗，以后还会一直找顾医生
5,复旦大学附属中山医院,经验很丰富的大夫，态度也挺好的
5,复旦大学附属中山医院,完全康复
5,复旦大学附属中山医院,顾教授，你好，现在还是咳嗽，没有好转！怎么办？
5,复旦大学附属中山医院,朱教授非常热情，说的很仔细，非常感谢！
5,复旦大学附属中山医院,诊断明确，治疗有效
5,复旦大学附属中山医院,医生很好
5,复旦大学附属中山医院,妈妈逐渐康复中，李医生医者仁心！
5,复旦大学附属中山医院,医生人很好
5,复旦大学附属中山医院,有经验的好医生，已预约下次再就诊。
5,复旦大学附属中山医院,非常好的医生，十分耐心
5,复旦大学附属中山医院,顾教授待人热情，专业问诊，效果明显，谨致感谢！
5,复旦大学附属中山医院,洪医生态度真不错！耐心，仔细！
5,复旦大学附属中山医院,，看病的人太多了，
5,复旦大学附属中山医院,看的很仔细，判断我们之前在别的医院诊断可能有误，后安排我们直接住院检查，幸好有王主任，我们能够顺利在当天就住院了
5,复旦大学附属中山医院,顾医生很温柔，很专业，我在别家医院看了几次一直给我误诊，不能对症下药。这次在顾医生这边总算可以确诊，用药得当，病情有所好转。
5,复旦大学附属中山医院,检查全面仔细，逐一排查
5,复旦大学附属中山医院,非常感谢邵长周医生，之前我们去过很多医院没有查出什么原因来，现在经过您的治疗病情好转，胸也不闷了，咳嗽也好了，非常感谢
5,复旦大学附属中山医院,难得的非常有耐心的专家
5,复旦大学附属中山医院,谢谢，吃了药好了
2,复旦大学附属中山医院,真的不咋样，第一候诊时间太长，从13点等到16点，第二，我是下呼吸道感染，医生就听了听，然后就给我开了一堆药，其它啥也没有了，我都咳嗽10多天了，就是想能快点好，晚上吃了药咳嗽的反而更严重了，无法入睡，难受，医生也没说任何其它注意事项问一句 [详细]
5,复旦大学附属中山医院,杨医生很耐心很专业，如沐春风般的就医体验
5,复旦大学附属中山医院,朱主任经验丰富、热情亲切，看过我带去的片子后，详细分析了我的病情，建议还是要手术治疗。谢谢朱主任！
5,复旦大学附属中山医院,非常感谢顾医生帮我妈妈看好了难缠的咳嗽病！
5,复旦大学附属中山医院,接待热情，经验也很丰富，是小县城不能比的！还有一个检验结果没出来。等结果出来再来评论
5,复旦大学附属中山医院,三个月复诊
5,复旦大学附属中山医院,顾主任非常耐心，疑似哮喘，需做检查。
5,复旦大学附属中山医院,明显感觉好多了，解除了疑虑，非常的感谢！
5,复旦大学附属中山医院,洪主任的丰富经验、专业精神、敬业态度等，感染着每个人！
5,复旦大学附属中山医院,杨医师和蔼可亲，非常专业
5,复旦大学附属中山医院,感谢顾主任的耐心帮助和答解疑难，以后有这方面的疾病还是要找您^ ^
5,复旦大学附属中山医院,经验丰富，认真负责，热情亲切，十分敬业。
5,复旦大学附属中山医院,张医生很耐心，仔细的对比了先前的片子，给出了比较专业的答复，消除了病人对小结节的恐惧，3月后在复查感谢！
4,复旦大学附属中山医院,可能是患者比较多，感觉医生看病比较匆忙，回答患者的问题还算耐心，我们外地医院拍的CT片也认，不用在中山医院再次拍，节省了很多时间，省去了再次拍片的麻烦，这挺好。开了药，吃了后才能看效果。
5,复旦大学附属中山医院,杨医生和蔼可亲 非常专业
1,复旦大学附属中山医院,邵长周医生的话不可信！5月31特需门诊答应我住院，说明因床位紧张，需等待一个星期。可是直到今天，几个月过去了，他都没有通知安排给我病床，真正的最差医德。
4,复旦大学附属中山医院,态度温和 良心医生
3,复旦大学附属中山医院,肺部结节，从形态及位置上不能做个基本判断。让检查结核菌和隐球菌，检查结果都为阴性。
5,复旦大学附属中山医院,满意，医生开的药很对症，第一次吃完晚上明显觉得舒服了很多
5,复旦大学附属中山医院,耐心仔细，解答疑问专业明确，非常感谢！
5,复旦大学附属中山医院,王医生听诊耐心，分析仔细，诊断认真。是一位十分敬业，又有经验的好医生！我要借此机会向王医生和微医平台表示感谢！我此次就医的主要体验有三点：一是整理好病历资料；二是归纳好症状信息；三是思考好就诊问题。这样便于自己的口头表达，便于接近实际的病情 [详细]
2,复旦大学附属中山医院,排队三小时轮到我，七点到医院我是30号，到我的时候问我几句然后就直接让我去做一个吸气呼气的项目，一切正常，紧接着就开药，完全凭经验判断，说是支气管炎，胃食管反流咳嗽，就给我开胃药，我说胃没有不舒服，说可能是这个，那就试试吧，吃药以后胃胀，胃 [详细]
5,复旦大学附属中山医院,今天李医生有些急躁，问诊不像第一次那么有耐心，300元挂号费一会会时间就结束了
5,复旦大学附属中山医院,细心，考虑问题周全，责任心强，经验丰富。
5,复旦大学附属中山医院,初次就诊会见李医师的时候感觉有点催促和急促，也许是外面的病人比较多的缘故，但是经验非常丰富，简单谈问都是句句重点。回诊的时候告知李医师我们是赶高铁过来看病的，来去比较不便，李医师居然很耐心地给我们预约下次复诊时间和这次检查过程安排，让我们很 [详细]
5,复旦大学附属中山医院,家父近些年秋冬季经常咳嗽，一咳起来就是两三个月停不住，咳嗽厉害时感觉肺都快被咳出来了。在当地医院看过很多医生，各种治疗效果均不理想。今年春季嗓子也哑了，慕名来院拍了胸部薄层CT，左肺有个6.6结节，现在还没办法确诊，还有右肺，不能排除是肿瘤 [详细]
5,复旦大学附属中山医院,服务态度很好，提前预约很方便，医生经验丰富，非常好
5,复旦大学附属中山医院,态度好热情
5,复旦大学附属中山医院,态度很好，医术精湛！
5,复旦大学附属中山医院,朱医生的医术精湛，细心
5,复旦大学附属中山医院,现在不怎么咳嗽了，身体好多了
1,复旦大学附属中山医院,冒着倾盆大雨，奔波三四小时，2分钟就被打发走了。问的问题回答等于没回答。9:30就轮到我了，排号小30号，就算从8点开始给病人看，2-3分钟一个人（还有会诊的）。很不负责任，很没耐心。
1,复旦大学附属中山医院,排队一下午看病不到一分钟、连片子都拍不了，不会再去了
5,复旦大学附属中山医院,朱医生非常好，经验丰富，给了我很好的诊断建议。
5,复旦大学附属中山医院,问得很仔细，很满意。
5,复旦大学附属中山医院,洪主任专业，耐心。病人年事已高，表达不是很清楚，洪主任就十分耐心地和老人在国外的女儿当场电话沟通，解释进一步检查的项目和安排，是一个非常有责任感的好医生。
5,复旦大学附属中山医院,诊断准确，配药很好。
5,复旦大学附属中山医院,看的很仔细，我以前在外地还做的cT，拿的片子，教授反复和在中山医院拍的片子比较，耐心、仔细的问了病情，
4,复旦大学附属中山医院,朱教授很好
5,复旦大学附属中山医院,李主任 经验丰富 医德好 服务好
1,复旦大学附属中山医院,预约的十点到十一点的 十二点还没有看到 医生冷漠没耐心 后面的患者就敷衍了事 300块的挂号费基本上几句话打发走 是我见过最没有耐心最不负责任的医生了 不论医术如何 医德首先要好啊！！！真心建议如果外地来看病的千万不要选择他！
2,复旦大学附属中山医院,还是肺炎没有好彻底，有痰
5,复旦大学附属中山医院,专业、耐心、细心，值得信赖的好医生！
5,复旦大学附属中山医院,耐心！专业
5,复旦大学附属中山医院,就是我阻塞型睡眠呼吸暂停综合征的原因是什么，医生没有建议我查，我觉得最好查查哪儿阻塞了
1,复旦大学附属中山医院,咳嗽去看的，看诊慢加上一直看回诊也就算了，关键到了我们，一堆检查，最后说你这个咳嗽和胃不好有关，开了胃药，回家吃完就恶心呕吐，本来胃轻微不舒服，这下好了，咳嗽没解决还加上胃不舒服了！还专家门诊呢 上午看好专家下午还要挂她的普通号看回诊，一共 [详细]
5,复旦大学附属中山医院,李医生非常认真，仔细询问病情，给了对症的药，还嘱咐助手详细指导用药。看我身体偏胖，听我说还有备孕打算，还给我推荐了一些适合我的医生，回去网上一查发现推荐的医生也真是非常好的医生，很适合我做整体身体调理的。没有其他方式感谢李医生，希望微医的评 [详细]
5,复旦大学附属中山医院,顾医生看过检验单，询问几句，观察一下身体，就说出了问题，还问我们要不要再做个检查，还给出了不错的建议。
5,复旦大学附属中山医院,顾主任耐心细致，态度可亲
5,复旦大学附属中山医院,金教授医术高超，热情亲切，耐心细致
5,复旦大学附属中山医院,很耐心！态度好！
1,复旦大学附属中山医院,吃了5天药没有效果，配了信必可都保，那明胶囊，苏黄止咳胶囊，六神丸，细菌溶解产物胶囊，吃了这药副作用太大受不了，嘴巴干，心跳加速，吐，1000多元钱泡汤了，西药还是少吃，医生态度是蛮好的
5,复旦大学附属中山医院,医生非常的亲切，经验也很丰富
5,复旦大学附属中山医院,为人和善，医术精湛
5,复旦大学附属中山医院,吃了一天药，非常有效，明显好转
1,复旦大学附属中山医院,停诊未给回复
5,复旦大学附属中山医院,医生询问很仔细，能准确找到问题的关键点
5,复旦大学附属中山医院,医生很亲切，经验丰富，问诊详细，困扰很久的不舒服终于知道为什么，
5,复旦大学附属中山医院,"很认真、专业,经验丰富"
4,复旦大学附属中山医院,网上预约后方便
5,复旦大学附属中山医院,金医生耐心的解答
5,复旦大学附属中山医院,请问顾宇彤医生，我是胸闷型哮喘病患者，发作时心跳会加速，请问有什么急救喷雾可以不加速心率，并且能缓解病情？
5,复旦大学附属中山医院,在金美玲医生这边就诊3年多了，病情稳定的很好
5,复旦大学附属中山医院,非常耐心
5,复旦大学附属中山医院,感谢朱主任，我父亲的病情好转。
5,复旦大学附属中山医院,医生蛮负责的 连续用药3个月后复诊
5,复旦大学附属中山医院,医生很敬业。安排做了检查
3,复旦大学附属中山医院,咳嗽一个月 在当地医院看了好几位医生都说是咳嗽变异性哮喘 特地网上预约了想听听专家医生怎么治疗 结果顾医生看了报告 简单看了一下喉咙说不是哮喘 可能是胃食管返流性咳嗽 就这样帮我配了一点胃药 回去吃了之后胃开始腹胀 饱腹感 吃不下饭 立 [详细]
5,复旦大学附属中山医院,医生很亲切，很负责任，医术很好
5,复旦大学附属中山医院,医生态度很认真，仔细的看了我的片子，但是因为我带的片子太暗实在看不出，但是还是一直安慰我不要太担心，感谢！
1,复旦大学附属中山医院,很不负责任的医生，连多说一句话都不愿意，整个问诊一分钟不到，不知道是不是带现成报告给他看的原因，不好意思，医生基本的职业道德还是要有的。
5,复旦大学附属中山医院,很有亲和力的一位医生
1,复旦大学附属中山医院,问诊时间短，不耐烦，带过去的新片子不看，参考电脑上半年前在其它医生的就诊记录，开的药
4,复旦大学附属中山医院,医生看片子很仔细，反复比较不同时间段的片子，目前诊断为炎性结节。建议我们半年复查一次。
5,复旦大学附属中山医院,问诊详细，经验丰富，已有好转。
5,复旦大学附属中山医院,洪医生可以很严肃很郑重地跟患者说病情，解释药物为什么使用，剂量和时间都建议非常明确，让患者对病情和治疗心里有底，值得信任和遵医嘱，难得的专业好医生，这样的专家难得
2,复旦大学附属中山医院,一般，太抠门了，300元挂号没看10秒，也没看出名堂来，后来叫医生开个医学证明，必须要求回诊，第一次去也不知道，医生态度及其不好不耐烦。后来叫加入网上诊室可以聊，发4条信息，医生就回几个字，就没机会再问了。如要了解就要求卖服务就可以聊，卖服 [详细]
5,复旦大学附属中山医院,在常州一切检查指标良好，除胸口不适、CT检查左上肺有感染外，无其他症状，即诊断为肺结核，住院4天后转到中山医院就诊，经顾主任临床诊断左上肺炎，结合待排！先配2盒消炎药口服一周后复诊，现胸口不适症状缓解，开心！
5,复旦大学附属中山医院,医生说肺气肿不能做气管镜，只能拿了些药回昆山了。但是我这个病喉咙一直有痰 睡也睡不好 咳嗽咳得力气也快没有了，感觉每个月一半都在医院挂水。难道真的没办法了么？
2,复旦大学附属中山医院,看了二次没啥好转，用的药都是激素药还影响到喉咙。现在其他小医院看效果不错。
5,复旦大学附属中山医院,就诊量大，非常专业敬业，非常辛苦，提示提醒到位。
5,复旦大学附属中山医院,老妈咳嗽一直不好，就在网上预约了顾医生。看了之后，吃了药。咳嗽好转了。
5,复旦大学附属中山医院,咳嗽近一个月，本地医院接连看了四个医生，吃药挂盐水将近20天没见效果，迫不得已预约朱医生号，一句话:好医生，药到病除，才吃几天药效果显著。感谢朱医生!
4,复旦大学附属中山医院,排队时间较长，医生态度较好。
5,复旦大学附属中山医院,态度温和，医风好，就诊询问详细，根据病情出具药方，服用后效果明显，减少了患病痛苦，感谢顾主任的辛苦付出。
1,复旦大学附属中山医院,爱答不理，花了七八百，一点效果都没有
5,复旦大学附属中山医院,金医生非常认真专业，我爸爸是哮喘和慢阻肺吃了10天的药就有好转了。
3,复旦大学附属中山医院,不应该挂这么贵的专家，没有实质性的意义，从心内科到呼吸科到内分泌科，最后也没给出什么结果，折腾了快一个月，天天忙着预约挂号，最后还是该哪儿不舒服还是哪儿不舒服
5,复旦大学附属中山医院,态度好耐心仔细
3,复旦大学附属中山医院,大老远起大早的跑过去，以为这个价位的专家会更专业更好，其实也真心一般呀，就是开了各种检查，再看检查结果，问一下答一下，还不如去看普通门诊。倒是肺功能检查室的杨延杰医生，非常为病人考虑，因为从很远的地方过去就诊的，再来回跑非常麻烦，杨医生及时 [详细]
5,复旦大学附属中山医院,基本已好转了，还需吃一段时间的药。
5,复旦大学附属中山医院,医生经验丰富，态度很好。我咳嗽半年多了，一直治不好，顾医生给我吃了一个星期的药，就有所好转了。太神奇了。
5,复旦大学附属中山医院,目前，有好转，但是喉咙经常容易沙哑，有痰。
